name,type,value,date
美国,USA,1,20200123
美国,USA,1,20200124
美国,USA,2,20200125
美国,USA,2,20200126
美国,USA,5,20200127
美国,USA,5,20200128
美国,USA,5,20200129
美国,USA,5,20200130
美国,USA,6,20200131
美国,USA,7,20200201
美国,USA,8,20200202
美国,USA,11,20200203
美国,USA,11,20200204
美国,USA,11,20200205
美国,USA,12,20200206
美国,USA,12,20200207
美国,USA,12,20200208
美国,USA,12,20200209
美国,USA,12,20200210
美国,USA,13,20200211
美国,USA,13,20200212
美国,USA,14,20200213
美国,USA,15,20200214
美国,USA,15,20200215
美国,USA,15,20200216
美国,USA,15,20200217
美国,USA,15,20200218
美国,USA,15,20200219
美国,USA,15,20200220
美国,USA,15,20200221
美国,USA,35,20200222
美国,USA,35,20200223
美国,USA,35,20200224
美国,USA,53,20200225
美国,USA,53,20200226
美国,USA,59,20200227
美国,USA,59,20200228
美国,USA,62,20200229
美国,USA,62,20200301
美国,USA,62,20200302
美国,USA,64,20200303
美国,USA,108,20200304
美国,USA,129,20200305
美国,USA,148,20200306
美国,USA,213,20200307
美国,USA,213,20200308
美国,USA,213,20200309
美国,USA,472,20200310
美国,USA,696,20200311
美国,USA,987,20200312
美国,USA,1264,20200313
美国,USA,2033,20200314
美国,USA,2655,20200315
美国,USA,3244,20200316
美国,USA,4629,20200317
美国,USA,6331,20200318
美国,USA,13842,20200319
美国,USA,19101,20200320
美国,USA,25493,20200321
美国,USA,33073,20200322
美国,USA,43214,20200323
美国,USA,53588,20200324
美国,USA,65778,20200325
美国,USA,83507,20200326
美国,USA,101657,20200327
美国,USA,121117,20200328
美国,USA,140886,20200329
美国,USA,160020,20200330
美国,USA,186265,20200331
美国,USA,213372,20200401
美国,USA,242182,20200402
美国,USA,276995,20200403
美国,USA,308850,20200404
美国,USA,335524,20200405
美国,USA,362759,20200406
美国,USA,396223,20200407
美国,USA,423135,20200408
美国,USA,462135,20200409
美国,USA,496535,20200410
美国,USA,526396,20200411
美国,USA,550016,20200412
美国,USA,581679,20200413
美国,USA,602989,20200414
美国,USA,636350,20200415
美国,USA,667225,20200416
美国,USA,700282,20200417
美国,USA,732197,20200418
美国,USA,755533,20200419
美国,USA,783290,20200420
美国,USA,823257,20200421
美国,USA,837947,20200422
美国,USA,873137,20200423
美国,USA,890524,20200424
美国,USA,936293,20200425
美国,USA,963379,20200426
美国,USA,985443,20200427
美国,USA,1011600,20200428
美国,USA,1037526,20200429
美国,USA,1067289,20200430
美国,USA,1102703,20200501
美国,USA,1127712,20200502
美国,USA,1156924,20200503
美国,USA,1178906,20200504
美国,USA,1203673,20200505
美国,USA,1223468,20200506
美国,USA,1254740,20200507
美国,USA,1283829,20200508
美国,USA,1307676,20200509
美国,USA,1328201,20200510
美国,USA,1336163,20200511
美国,USA,1369314,20200512
美国,USA,1388936,20200513
美国,USA,1416528,20200514
美国,USA,1441172,20200515
美国,USA,1465066,20200516
美国,USA,1486375,20200517
美国,USA,1506732,20200518
美国,USA,1525367,20200519
